city,time,name,rate,type,location,price
Sydney,03-04,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",175
Sydney,03-04,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",211
Sydney,03-04,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",299
Sydney,03-04,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",189
Sydney,03-04,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",275
Sydney,03-04,Rendezvous Hotel Sydney Central,Very good ,Hotel,"Sydney, 1.1 km to Darling Harbour",127
Sydney,03-04,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",161
Sydney,03-04,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",199
Sydney,03-04,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,03-04,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",190
Sydney,03-04,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",241
Sydney,03-04,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",239
Sydney,03-04,Oaks on Castlereagh,Good ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",170
Sydney,03-04,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",227
Sydney,03-04,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,03-04,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",242
Sydney,03-04,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",143
Sydney,03-04,Best Western Plus Hotel Stellar,Excellent ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",160
Sydney,03-04,Seasons Harbour Plaza Sydney,Good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",166
Sydney,03-04,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",135
Sydney,03-04,QT Bondi,Very good ,Hotel,"Sydney, 0.2 km away from the beach",340
Sydney,03-04,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",177
Sydney,03-04,Dive Hotel,Very good ,Hotel,"Sydney, 0.1 km away from the beach",230
Sydney,03-04,Vibe Hotel Rushcutters Bay Sydney,Good ,Hotel,"Sydney, 2.1 km to Sydney Town Hall",160
Sydney,04-05,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",325
Sydney,04-05,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",221
Sydney,04-05,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",219
Sydney,04-05,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",319
Sydney,04-05,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",254
Sydney,04-05,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",170
Sydney,04-05,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",213
Sydney,04-05,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",206
Sydney,04-05,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,04-05,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,04-05,Dive Hotel,Very good ,Hotel,"Sydney, 0.1 km away from the beach",230
Sydney,04-05,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",249
Sydney,04-05,Seasons Harbour Plaza Sydney,Good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",217
Sydney,04-05,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",236
Sydney,04-05,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",194
Sydney,04-05,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,04-05,QT Bondi,Very good ,Hotel,"Sydney, 0.2 km away from the beach",330
Sydney,04-05,Oaks on Castlereagh,Good ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",206
Sydney,04-05,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",315
Sydney,04-05,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",167
Sydney,04-05,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",297
Sydney,04-05,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",189
Sydney,04-05,Vibe Hotel Rushcutters Bay Sydney,Good ,Hotel,"Sydney, 2.1 km to Sydney Town Hall",181
Sydney,04-05,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",287
Sydney,04-05,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",217
Sydney,05-06,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",325
Sydney,05-06,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",247
Sydney,05-06,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",329
Sydney,05-06,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",288
Sydney,05-06,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",249
Sydney,05-06,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",191
Sydney,05-06,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",206
Sydney,05-06,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,05-06,Dive Hotel,Very good ,Hotel,"Sydney, 0.1 km away from the beach",245
Sydney,05-06,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",363
Sydney,05-06,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",310
Sydney,05-06,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",167
Sydney,05-06,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",297
Sydney,05-06,Seasons Harbour Plaza Sydney,Good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",251
Sydney,05-06,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",212
Sydney,05-06,Hotel Stamford Plaza Sydney Airport,Very good ,Hotel,"Sydney, 1.1 km to Airport Sydney",183
Sydney,05-06,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",299
Sydney,05-06,Fraser Suites Sydney,Excellent ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",270
Sydney,05-06,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",208
Sydney,05-06,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",247
Sydney,05-06,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",237
Sydney,05-06,ibis Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.6 km to Darling Harbour",148
Sydney,05-06,Nightcap at Blue Cattle Dog Hotel,Good ,Hotel,"Sydney, 40.9 km to Darling Harbour",119
Sydney,05-06,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,05-06,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",347
Sydney,06-07,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",446
Sydney,06-07,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",311
Sydney,06-07,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",213
Sydney,06-07,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",234
Sydney,06-07,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",288
Sydney,06-07,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",279
Sydney,06-07,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",329
Sydney,06-07,Dive Hotel,Very good ,Hotel,"Sydney, 0.1 km away from the beach",230
Sydney,06-07,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,06-07,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,06-07,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",297
Sydney,06-07,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",212
Sydney,06-07,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,06-07,Fraser Suites Sydney,Excellent ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",270
Sydney,06-07,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",237
Sydney,06-07,3 Bedroom Cozy And Quiet Holiday Home,Excellent ,,"Sydney, 14.7 km to City centre",321
Sydney,06-07,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",329
Sydney,06-07,Nightcap at Blue Cattle Dog Hotel,Good ,Hotel,"Sydney, 40.9 km to Darling Harbour",119
Sydney,06-07,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",208
Sydney,06-07,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",347
Sydney,06-07,Meriton Suites Zetland,Excellent ,Serviced apartment,"Sydney, 3.9 km to Sydney Town Hall",177
Sydney,06-07,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",271
Sydney,06-07,Coogee Sands Hotel and Apartments,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",185
Sydney,06-07,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",215
Sydney,06-07,Meriton Suites Campbell Street,Excellent ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",267
Sydney,07-08,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",413
Sydney,07-08,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",311
Sydney,07-08,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",329
Sydney,07-08,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",213
Sydney,07-08,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",288
Sydney,07-08,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",769
Sydney,07-08,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",191
Sydney,07-08,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,07-08,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",279
Sydney,07-08,Dive Hotel,Very good ,Hotel,"Sydney, 0.1 km away from the beach",245
Sydney,07-08,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",329
Sydney,07-08,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",297
Sydney,07-08,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",189
Sydney,07-08,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",212
Sydney,07-08,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",357
Sydney,07-08,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",197
Sydney,07-08,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",191
Sydney,07-08,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",237
Sydney,07-08,Hotel Quest North Ryde,Very good ,Serviced apartment,"Sydney, 9.5 km to Sydney Opera House",197
Sydney,07-08,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",347
Sydney,07-08,Meriton Suites Zetland,Excellent ,Serviced apartment,"Sydney, 3.9 km to Sydney Town Hall",177
Sydney,07-08,QT Bondi,Very good ,Hotel,"Sydney, 0.2 km away from the beach",399
Sydney,07-08,Coogee Sands Hotel and Apartments,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",180
Sydney,07-08,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",337
Sydney,07-08,Travelodge Sydney Airport,Excellent ,Hotel,"Sydney, 6.7 km to City centre",179
Sydney,08-09,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",361
Sydney,08-09,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",279
Sydney,08-09,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",237
Sydney,08-09,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",208
Sydney,08-09,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",448
Sydney,08-09,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",289
Sydney,08-09,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",399
Sydney,08-09,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",217
Sydney,08-09,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",223
Sydney,08-09,Hotel Quest North Ryde,Very good ,Serviced apartment,"Sydney, 9.5 km to Sydney Opera House",134
Sydney,08-09,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,08-09,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,08-09,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",135
Sydney,08-09,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",267
Sydney,08-09,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",161
Sydney,08-09,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",359
Sydney,08-09,Hilton Sydney,Excellent ,Hotel,"Sydney, 0.2 km to Sydney Town Hall",284
Sydney,08-09,Hotel Stamford Plaza Sydney Airport,Very good ,Hotel,"Sydney, 1.1 km to Airport Sydney",159
Sydney,08-09,Park Regis Concierge Apartments,Good ,Hotel,"Sydney, 3.4 km to Sydney Opera House",161
Sydney,08-09,Oaks on Castlereagh,Good ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",211
Sydney,08-09,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",299
Sydney,08-09,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",230
Sydney,08-09,Skygarden Sydney Olympic Park 4 Bedroom City View,Excellent ,,"Sydney, 12.5 km to City centre",539
Sydney,08-09,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",191
Sydney,08-09,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",357
Sydney,09-10,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",446
Sydney,09-10,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",305
Sydney,09-10,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",220
Sydney,09-10,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",234
Sydney,09-10,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,09-10,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",369
Sydney,09-10,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",223
Sydney,09-10,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",429
Sydney,09-10,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,09-10,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",389
Sydney,09-10,Hotel Quest North Ryde,Very good ,Serviced apartment,"Sydney, 9.5 km to Sydney Opera House",161
Sydney,09-10,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",161
Sydney,09-10,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",161
Sydney,09-10,Skygarden Sydney Olympic Park 4 Bedroom City View,Excellent ,Serviced apartment,"Sydney, 12.5 km to City centre",449
Sydney,09-10,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",483
Sydney,09-10,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",230
Sydney,09-10,Hotel Stamford Plaza Sydney Airport,Very good ,Hotel,"Sydney, 1.1 km to Airport Sydney",175
Sydney,09-10,Hotel Novotel Sydney Norwest,Very good ,Hotel,"Sydney, 26.4 km to Darling Harbour",143
Sydney,09-10,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",327
Sydney,09-10,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",197
Sydney,09-10,Park Regis Concierge Apartments,Good ,Hotel,"Sydney, 3.4 km to Sydney Opera House",197
Sydney,09-10,Holiday Inn Old Sydney,Very good ,Hotel,"Sydney, 0.6 km to Sydney Opera House",404
Sydney,09-10,Vibe Hotel Rushcutters Bay Sydney,Good ,Hotel,"Sydney, 2.1 km to Sydney Town Hall",230
Sydney,09-10,Hilton Sydney,Excellent ,Hotel,"Sydney, 0.2 km to Sydney Town Hall",441
Sydney,09-10,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",472
Sydney,10-11,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",303
Sydney,10-11,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",211
Sydney,10-11,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",211
Sydney,10-11,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",299
Sydney,10-11,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",275
Sydney,10-11,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",209
Sydney,10-11,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",164
Sydney,10-11,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",185
Sydney,10-11,Hyde Park Inn,Excellent ,Hotel,"Sydney, 0.4 km to Sydney Town Hall",220
Sydney,10-11,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",198
Sydney,10-11,Oaks on Castlereagh,Good ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",175
Sydney,10-11,Vibe Hotel Rushcutters Bay Sydney,Good ,Hotel,"Sydney, 2.1 km to Sydney Town Hall",146
Sydney,10-11,Best Western Plus Hotel Stellar,Excellent ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",160
Sydney,10-11,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",227
Sydney,10-11,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",229
Sydney,10-11,QT Bondi,Very good ,Hotel,"Sydney, 0.2 km away from the beach",310
Sydney,10-11,Seasons Harbour Plaza Sydney,Good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",188
Sydney,10-11,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",204
Sydney,10-11,Park Regis Concierge Apartments,Good ,Hotel,"Sydney, 3.4 km to Sydney Opera House",143
Sydney,10-11,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",276
